2026-05-25 06:00:00 DEVICE_START
2026-05-25 06:00:09 TEMP_READING 4.2C
2026-05-25 06:00:18 FAN_SPEED 1456RPM
2026-05-25 06:00:27 HUMIDITY 65%
2026-05-25 06:00:36 VOLTAGE 12.44V
2026-05-25 06:00:45 BATTERY_LEVEL 99.8%
2026-05-25 06:00:54 TEMP_READING 4.3C
2026-05-25 06:01:03 TEMP_READING 4.1C
2026-05-25 06:01:12 FAN_SPEED 1489RPM
2026-05-25 06:01:21 HUMIDITY 63%
2026-05-25 06:01:30 VOLTAGE 12.42V
2026-05-25 06:01:39 BATTERY_LEVEL 99.8%
2026-05-25 06:01:48 TEMP_READING 4.4C
2026-05-25 06:01:57 TEMP_READING 4.2C
2026-05-25 06:02:06 FAN_SPEED 1467RPM
2026-05-25 06:02:15 HUMIDITY 64%
2026-05-25 06:02:24 VOLTAGE 12.45V
2026-05-25 06:02:33 BATTERY_LEVEL 99.7%
2026-05-25 06:02:42 TEMP_READING 4.3C
2026-05-25 06:02:51 TEMP_READING 4.1C
2026-05-25 06:03:00 FAN_SPEED 1502RPM
2026-05-25 06:03:09 HUMIDITY 62%
2026-05-25 06:03:18 VOLTAGE 12.43V
2026-05-25 06:03:27 BATTERY_LEVEL 99.7%
2026-05-25 06:03:36 TEMP_READING 4.4C
2026-05-25 06:03:45 TEMP_READING 4.2C
2026-05-25 06:03:54 FAN_SPEED 1478RPM
2026-05-25 06:04:03 HUMIDITY 66%
2026-05-25 06:04:12 VOLTAGE 12.44V
2026-05-25 06:04:21 BATTERY_LEVEL 99.6%
2026-05-25 06:04:30 TEMP_READING 4.3C
2026-05-25 06:04:39 TEMP_READING 4.1C
2026-05-25 06:04:48 FAN_SPEED 1491RPM
2026-05-25 06:04:57 HUMIDITY 64%
2026-05-25 06:05:06 VOLTAGE 12.42V
2026-05-25 06:05:15 BATTERY_LEVEL 99.6%
2026-05-25 06:05:24 TEMP_READING 4.4C
2026-05-25 06:05:33 TEMP_READING 4.2C
2026-05-25 06:05:42 FAN_SPEED 1485RPM
2026-05-25 06:05:51 HUMIDITY 63%
2026-05-25 06:06:00 VOLTAGE 12.45V
2026-05-25 06:06:09 BATTERY_LEVEL 99.5%
2026-05-25 06:06:18 TEMP_READING 4.3C
2026-05-25 06:06:27 TEMP_READING 4.1C
2026-05-25 06:06:36 FAN_SPEED 1472RPM
2026-05-25 06:06:45 HUMIDITY 65%
2026-05-25 06:06:54 VOLTAGE 12.43V
2026-05-25 06:07:03 BATTERY_LEVEL 99.5%
2026-05-25 06:07:12 TEMP_READING 4.4C
2026-05-25 06:07:21 TEMP_READING 4.2C
2026-05-25 06:07:30 FAN_SPEED 1498RPM
2026-05-25 06:07:39 HUMIDITY 64%
2026-05-25 06:07:48 VOLTAGE 12.44V
2026-05-25 06:07:57 BATTERY_LEVEL 99.4%
2026-05-25 06:08:06 TEMP_READING 4.3C
